timestamp,price,volume,market_cap,date,return_1d,return_7d,return_14d,ma_7,ma_14,ma_30,ema_7,ema_14,volatility_7,volatility_14,volatility_30,bb_upper,bb_lower,bb_position,rsi,macd,macd_signal,momentum_7,momentum_14,volume_ma_7,volume_ratio,price_lag_1,price_lag_2,price_lag_3,price_lag_5,price_lag_7,day_of_week,day_of_month,month
2025-09-27 00:00:00,109710.20874667744,55257214020.568245,2185866776171.5464,2025-09-27,0.6852555252105486,-5.140772170340224,-5.55262287728574,112533.31574652322,114321.05036563159,112751.32056280547,111979.19219367689,113012.35043181086,1.750621258165871,1.3502910490332027,1.3674094099624046,114323.75094772966,114318.34978353351,-853.175513558507,28.234965173877924,-403.67556917383627,313.3172025298451,-5945.6017177360045,-6449.934699267469,47022548879.95331,1.1751216243431999,108963.53013595635,113320.56908541008,112022.16587861195,115304.47999407038,115655.81046441344,5,27,9
2025-09-28 00:00:00,109654.81021075726,23294896964.31016,2185203231301.0562,2025-09-28,-0.05049533361849434,-5.237590774059719,-5.446014331967897,111667.500724086,113869.92360322636,112655.62765627411,111398.09669794698,112564.67840233706,1.7433571896901858,1.352137166057244,1.3480665497298998,113872.62787755848,113867.21932889424,-778.842787527405,28.492950257710575,-629.2498325192137,124.80379552003333,-6060.705157060482,-6315.774673673077,47668255056.09898,0.48868784764399853,109710.20874667744,108963.53013595635,113320.56908541008,112696.74101711863,115715.51536781774,6,28,9
2025-09-29 00:00:00,112142.57362752674,31274654338.51212,2235798877396.134,2025-09-29,2.268722559446301,-2.7422233435389853,-2.8004527689995395,111215.79981457978,113639.13917955912,112777.7032216452,111584.21593034192,112508.39776569568,2.0905085835725297,1.5259446455955938,1.2412987190465539,113642.19106885031,113636.08729026793,-244.68673667996237,40.25272347714451,-600.3568052267801,-20.228324629329357,-3161.9063665436406,-3230.98193134155,49470475106.9585,0.6321882753479566,109654.81021075726,109710.20874667744,108963.53013595635,112022.16587861195,115304.47999407038,0,29,9
2025-09-30 00:00:00,114309.15041119447,57833295882.65785,2278362523594.3135,2025-09-30,1.9319841819074535,1.430750685000648,-0.9429187353811597,111446.14401373347,113561.41758555337,112961.94299270981,112265.44955055506,112748.49811842886,2.0612660993674554,1.6284683308040762,1.2846147266040426,113564.67452221498,113558.16064889176,115.29081470253696,47.09322321693921,-398.04580901873123,-95.79182150720973,1612.409394075832,-1088.1023160806217,47853468514.55706,1.2085497180850102,112142.57362752674,109654.81021075726,109710.20874667744,113320.56908541008,112696.74101711863,1,30,9
2025-10-01 00:00:00,114024.22783550054,57718901820.70616,2272137555069.4507,2025-10-01,-0.2492561397482218,1.7872016142394864,-2.3454565028805496,111732.15286471754,113365.80173905917,113154.30522309795,112705.14412179143,112918.59541403843,2.0422416601759106,1.5891871361744345,1.281148412687595,113368.98011333152,113362.62336478682,104.07906904946081,42.235693870766106,-257.7327746202791,-128.1800121298236,2002.0619568885886,-2738.62185091876,49505471799.79459,1.1659095393359253,114309.15041119447,112142.57362752674,109654.81021075726,108963.53013595635,112022.16587861195,2,1,10
2025-10-02 00:00:00,118503.24451752483,69920179085.4708,2359569556068.08,2025-10-02,3.9281271770470028,4.573464000351546,1.7580021433973192,112472.53506930536,113512.03731300714,113465.65718768467,114154.66922072478,113663.21529450329,2.4668590790767806,1.9267116312548935,1.4489726864709822,113515.89073626965,113508.18388974463,648.1328791956917,54.69389656440217,212.43669163252343,-60.0566713773542,5182.6754321147455,2047.2980352716404,52825848351.95691,1.323597845880702,114024.22783550054,114309.15041119447,112142.57362752674,109710.20874667744,113320.56908541008,3,2,10
2025-10-03 00:00:00,120611.71911591051,71252850672.75252,2399524207991.5527,2025-10-03,1.7792547427457839,10.689988627773396,2.958905098093312,114136.56206644168,113759.6247434636,113779.70842159988,115768.93169452122,114589.68247069092,1.4647516630324613,1.9736074577450988,1.446117540569605,113763.57195837909,113755.67752854811,868.4657073595761,57.461622635979374,746.5795554723882,101.27057399259427,11648.188979954168,3466.224026390453,52364570397.85399,1.3607072517045344,118503.24451752483,114024.22783550054,114309.15041119447,109654.81021075726,108963.53013595635,4,3,10
2025-10-04 00:00:00,122250.15186842803,83155430408.51796,2436956902844.7153,2025-10-04,1.3584357842897132,11.430060397301322,5.701694863003559,115927.98251240606,114230.64912946464,114130.99615797245,117389.23673799793,115611.07839038922,1.4261940885032787,1.944990719411364,1.4591515003082505,114234.53911090347,114226.75914802581,1031.289332169659,64.10508420191866,1287.2607133201382,338.46860185810306,12539.943121750592,6594.341404014587,56350029881.846794,1.475694521952801,120611.71911591051,118503.24451752483,114024.22783550054,112142.57362752674,109710.20874667744,5,4,10
2025-10-05 00:00:00,122380.93708463266,35161626561.80918,2438832157552.7866,2025-10-05,0.10698163904563351,11.605625735355973,5.760179778509356,117746.0006372454,114706.7506806657,114519.536181544,118637.1618246566,116513.72621628834,1.3973843074530083,1.9442524573681959,1.4422993740489287,114710.63918558044,114702.86217575097,987.2785398554159,64.21390149900117,1706.6346780169551,612.1018170898735,12726.1268738754,6665.421716814919,58045276967.203804,0.6057620602219862,122250.15186842803,120611.71911591051,118503.24451752483,114309.15041119447,109654.81021075726,6,5,10
2025-10-06 00:00:00,123506.18520027678,72011486031.26575,2461221856764.1885,2025-10-06,0.9194635557218778,10.13318243479362,7.113084597084329,119369.37371906685,115292.5867668233,114947.66965067707,119854.41766856165,117446.05408082013,1.3809878201945918,1.9350616443514228,1.4439543117879114,115296.456890112,115288.7166435346,1061.6546223144837,66.97298751085167,2105.5185777821753,910.7851692283339,11363.611572750044,8201.705206206403,63864824351.88288,1.1275610128432567,122380.93708463266,122250.15186842803,120611.71911591051,114024.22783550054,112142.57362752674,0,6,10
2025-10-07 00:00:00,124773.50823074432,69605991064.72382,2486073086655.2866,2025-10-07,1.0261211034997553,9.154435827671993,10.716163665985,120864.28197900252,116155.21299636799,115433.14696420926,121084.19030910732,118423.0479674767,1.3647858669740651,1.7649151763155326,1.4407860705422344,116158.74282672063,116151.68316601535,1221.280373756524,76.46018796351521,2495.1369338431396,1227.6555221512951,10464.357819549856,12076.767213625688,65546637949.320885,1.061930760179363,123506.18520027678,122380.93708463266,122250.15186842803,118503.24451752483,114309.15041119447,1,7,10
2025-10-08 00:00:00,121518.75593575071,76087884719.80028,2421938444026.2783,2025-10-08,-2.6085283175452445,6.572750583378051,8.477420502143595,121934.92885046684,116833.5408575922,115779.3724158396,121192.83171576817,118835.80902991323,1.962203249999106,1.954159474976948,1.5406450403108642,116837.44917654216,116829.63253864225,599.8900623460754,68.6934752751138,2512.320511967264,1484.588520114489,7494.528100250172,9496.590057138761,68170778363.47718,1.1161363643834339,124773.50823074432,123506.18520027678,122380.93708463266,120611.71911591051,114024.22783550054,2,8,10
2025-10-09 00:00:00,123352.50487523204,62576032795.36722,2459003621170.118,2025-10-09,1.5090254383865354,4.092090792493108,8.852705092101033,122627.68033013931,117550.10769972233,116156.9516189744,121732.75000563414,119438.03514262241,1.506200855609916,1.9640642669341777,1.5537686849077736,117554.0358282562,117546.17957118846,739.0701773103096,69.33967016642595,2643.4349627984484,1716.357808651281,4849.260357707215,10031.93578982196,67121614607.74811,0.9322784197170344,121518.75593575071,124773.50823074432,123506.18520027678,122250.15186842803,118503.24451752483,3,9,10
