date,timestamp,price,return_%,volatility
2025-05-03,1746310033788.0,1840.5508214820013,0.0,0.0
2025-05-04,1746358660111.4167,1832.2692120056415,-0.44995277390338373,0.0
2025-05-05,1746445027538.5,1811.2540269948802,-1.1469485418989067,0.0
2025-05-06,1746531395384.625,1790.1414452775855,-1.1656333900509463,0.0
2025-05-07,1746617836072.5,1822.3615622440277,1.7998643096856615,1.2176631647809868
2025-05-08,1746704146612.4583,1977.4520984133922,8.510415242647484,4.097244145110318
2025-05-09,1746790634690.3044,2298.1184615742545,16.216138101051804,7.484016938395905
2025-05-10,1746876856912.0833,2414.1056134099217,5.04704843440551,6.718146233754599
2025-05-11,1746963310625.9583,2514.0970852489313,4.1419675793625155,5.615602527091713
2025-05-12,1747049662771.625,2514.311681086781,0.008535702105882947,6.079679018706795
2025-05-13,1747136074593.0833,2534.142929734882,0.7887346981392929,6.498086130331622
2025-05-14,1747222540702.4167,2625.445285904297,3.6028889727607982,2.1964994890464458
2025-05-15,1747309019432.3333,2561.0037178707703,-2.4545005138559173,2.709779202367531
2025-05-16,1747395319268.0,2583.8529763063293,0.8921993465341727,2.1686913588418864
2025-05-17,1747481774005.875,2485.0306391454264,-3.824611464626415,2.9518230236889322
2025-05-18,1747568143719.2083,2492.313469401861,0.29306802667588006,2.918490764954739
2025-05-19,1747654575542.25,2442.3602744087593,-2.0042902149499664,1.9668890316067944
2025-05-20,1747740917840.5,2516.7941126710093,3.047619101988097,2.6601348625395493
2025-05-21,1747827205638.3333,2538.281122139096,0.8537452213476238,2.6558090144659703
2025-05-22,1747913618496.125,2634.9025236004304,3.8065681779135607,2.3139676750840836
2025-05-23,1748000021022.375,2621.8743133364856,-0.4944475230963197,2.415643805982416
2025-05-24,1748086437133.8333,2549.5669064847384,-2.757851758337404,2.663949867350965
2025-05-25,1748172859983.375,2510.3602117225614,-1.537778618888408,2.5214312495932827
2025-05-26,1748259196830.5,2559.5369272923017,1.9589505657435557,2.662336351737566
2025-05-27,1748345654023.7917,2623.916865846821,2.5152963361472658,2.2560607753626702
2025-05-28,1748432894538.25,2644.1207424961017,0.7699892062990488,2.266474420250064
2025-05-29,1748518408629.125,2695.422003483521,1.9402011475085024,1.6209009205416836
2025-05-30,1748604785479.2083,2602.5221713310348,-3.4465783848474985,2.4293029670818935
2025-05-31,1748691223637.0,2527.4276715181018,-2.8854509152760333,2.767843102805314
2025-06-01,1748777620997.6667,2516.5616029361304,-0.4299259956841661,2.31643421829201
2025-06-02,1748860325170.5,2515.2472844900103,-0.052226754337614256,2.2025857570103082
