timestamp,price,volume,market_cap,datetime,date,year,month,day,day_of_week,quarter,return_1d,return_3d,return_7d,return_14d,return_30d,sma_7,ema_7,sma_14,ema_14,sma_30,ema_30,sma_50,ema_50,volatility_7,volatility_14,volatility_30,bb_middle,bb_std,bb_upper,bb_lower,bb_position,rsi,macd,macd_signal,macd_histogram,momentum_3,momentum_7,momentum_14,volume_sma_7,volume_ratio,price_lag_1,price_lag_2,price_lag_3,price_lag_5,price_lag_7,trend_bullish,sentiment_score,coin,data_timestamp
1758326400000,115655.81046441344,34296721252.33001,2303469041668.8,2025-09-20 00:00:00,2025-09-20,2025,9,20,Saturday,3,-1.2716533606078717,-0.9481091160235877,-0.4341704190182538,4.512498567536549,1.228344387102509,116108.78498473996,115869.07630112747,114522.41995877838,114877.02360988734,112868.62457273628,113887.80910082282,112913.26241077557,113670.072679567,0.7857583094227202,0.9137134991848876,1.4985409197641404,114522.41995877838,2314.491836085266,119151.40363094892,109893.43628660784,0.6224232559350998,70.76984660818233,1115.2013459910377,676.9121658404904,438.2891801505473,-1107.0392220058566,-504.3329815314646,4993.629338128318,39506490230.217125,0.8681287821943153,117145.49508952006,116455.94648225319,116762.8496864193,115373.55555886829,116160.14344594491,1,1,bitcoin,2025-11-18 13:53:54.716199
1758412800000,115715.51536781774,18774953731.290394,2305371926506.302,2025-09-21 00:00:00,2025-09-21,2025,9,21,Sunday,3,0.05162291731350965,-0.6358036122683375,-0.2199432872282081,4.996249951348308,2.9365592825930875,116072.34648236675,115830.68606780004,114915.7289975669,114988.82251094474,112978.66175588472,114005.72563417735,113000.83281568313,113750.28611832194,0.7852281396995123,0.8935063125264799,1.4654022281607273,114915.7289975669,1966.9024419675916,118849.53388150208,110981.92411363171,0.6016555718760994,73.6768998582588,1079.2754239586648,757.3848174641253,321.8906064945395,-740.4311144354433,-255.06951661259518,5506.326543039351,37893789513.57858,0.4954625539512936,115655.81046441344,117145.49508952006,116455.94648225319,115397.25272727509,115970.58488443034,1,1,bitcoin,2025-11-18 13:53:54.716199
1758499200000,115304.47999407038,18659113982.495464,2297332085237.645,2025-09-22 00:00:00,2025-09-22,2025,9,22,Monday,3,-0.35521198038208635,-1.5715628620996624,-0.0598712282579017,3.7545332515101615,-1.3093502074389196,116062.47854453846,115699.13454936762,115213.76382665474,115030.9101753615,112927.66943961963,114089.51623804143,113070.6403059373,113811.23489776306,0.770951874043954,0.9005520463132632,1.276393783731845,115213.76382665474,1638.1059836539152,118489.97579396257,111937.55185934692,0.5138446731043141,68.7674497288977,1006.0397523926658,807.1158044498334,198.92394794283246,-1841.0150954496785,-69.07556479790946,4172.487607229676,36718034451.8478,0.5081730071081313,115715.51536781774,115655.81046441344,117145.49508952006,116762.8496864193,115373.55555886829,1,1,bitcoin,2025-11-18 13:53:54.716199
1758585600000,112696.74101711863,69152342029.46799,2245929069310.8535,2025-09-23 00:00:00,2025-09-23,2025,9,23,Tuesday,3,-2.2616111508294012,-2.5585134334476844,-2.340187176326225,0.5995192714687736,-2.30863629656054,115676.69115737325,114948.53616630538,115261.73612922124,114719.68762092912,112838.89469128534,113999.65977217545,113059.64326803086,113767.52925538486,1.1481301492501426,1.1087018017322845,1.3217491004315631,115261.73612922124,1544.7149939522328,118351.16611712571,112172.30614131677,0.08487566927476797,52.617169166995254,729.1717750568641,791.5269985712396,-62.35522351437544,-2959.069447294809,-2700.511710156454,671.6122359309229,39890143137.33152,1.733569663848892,115304.47999407038,115715.51536781774,115655.81046441344,116455.94648225319,115397.25272727509,1,0,bitcoin,2025-11-18 13:53:54.716199
1758672000000,112022.16587861195,46154878824.043465,2232693472656.6514,2025-09-24 00:00:00,2025-09-24,2025,9,24,Wednesday,3,-0.5985755510039215,-3.191749591630799,-4.0600960155897425,0.4255824392905172,-1.2146279355458756,114999.45061340078,114216.94359438203,115295.64515166866,114360.01805528684,112792.98193813408,113872.07952097782,113030.00105690461,113699.08363276631,0.9336443964047304,1.1153086339302445,1.2898293302273809,115295.64515166866,1459.7838695291352,118215.21289072694,112376.0774126104,-0.060610262482315054,51.82197747271583,450.13050797492906,723.2477004519775,-273.11719247704843,-3693.3494892057934,-4740.683807807349,474.72631426407315,40774489884.32348,1.1319547823892844,112696.74101711863,115304.47999407038,115715.51536781774,117145.49508952006,116762.8496864193,0,0,bitcoin,2025-11-18 13:53:54.716199
1758758400000,113320.56908541008,46677543220.334526,2257741194218.8286,2025-09-25 00:00:00,2025-09-25,2025,9,25,Thursday,3,1.1590591885226376,-1.7205844116050972,-2.6923291523983317,-0.574471544505406,2.845400518397745,114551.53955670889,113992.84996713905,115248.87687957741,114221.42485930328,112897.48909301426,113836.4982025541,113038.07239102975,113684.23992502685,1.146284827970009,0.9913653627913859,1.1931516406865526,115248.87687957741,1514.7900180263211,118278.45691563006,112219.29684352476,0.1817532840822735,47.248530855939975,329.95506441628095,644.5891732448382,-314.63410882855726,-1983.9109086602984,-3135.377396843105,-654.7558092775726,39622574302.17432,1.17805427947101,112022.16587861195,112696.74101711863,115304.47999407038,115655.81046441344,116455.94648225319,0,0,bitcoin,2025-11-18 13:53:54.716199
1758844800000,108963.53013595635,74481796351.47305,2171950311711.4429,2025-09-26 00:00:00,2025-09-26,2025,9,26,Friday,3,-3.8448791641434665,-3.3126165383923656,-6.984446945493916,-5.661867710357793,-2.574311599602652,113382.68742048551,112735.52000934337,114781.75998700784,113520.3722295237,112801.51643112596,113522.11316599941,112927.94962737913,113499.11405094566,1.638141021045241,1.3434414131007657,1.363649523038257,114781.75998700784,2256.883489616063,119295.52696623997,110267.99300777572,-0.14449825144067185,27.797860699749307,-115.52971570052614,492.5653954557654,-608.0951111562915,-3733.2108811622893,-8181.9649535637145,-6539.636495974017,44028192770.204994,1.6916841611058993,113320.56908541008,112022.16587861195,112696.74101711863,115715.51536781774,117145.49508952006,0,2,bitcoin,2025-11-18 13:53:54.716199
1758931200000,109710.20874667744,55257214020.568245,2185866776171.5464,2025-09-27 00:00:00,2025-09-27,2025,9,27,Saturday,3,0.6852555252105486,-2.063838985616262,-5.140772170340224,-5.55262287728574,-1.3540092266082548,112533.31574652322,111979.19219367689,114321.05036563159,113012.35043181086,112751.32056280547,113276.18384862381,112843.27223578171,113350.52952920966,1.750621258165871,1.3502910490332027,1.3674094099624046,114321.05036563159,2587.9148744225145,119496.88011447662,109145.22061678655,0.054579473949752946,28.234965173877924,-403.67556917383627,313.3172025298451,-716.9927717036813,-2311.9571319345123,-5945.6017177360045,-6449.934699267469,47022548879.95331,1.1751216243431999,108963.53013595635,113320.56908541008,112022.16587861195,115304.47999407038,115655.81046441344,0,2,bitcoin,2025-11-18 13:53:54.716199
1759017600000,109654.81021075726,23294896964.31016,2185203231301.0562,2025-09-28 00:00:00,2025-09-28,2025,9,28,Sunday,3,-0.05049533361849434,-3.234857452833584,-5.237590774059719,-5.446014331967897,-2.5512303530056957,111667.500724086,111398.09669794698,113869.92360322636,112564.67840233706,112655.62765627411,113042.5468397292,112761.51679924261,113205.59935985859,1.7433571896901858,1.352137166057244,1.3480665497298998,113869.92360322636,2818.463332521447,119506.85026826925,108232.99693818347,0.12611599875789564,28.492950257710575,-629.2498325192137,124.80379552003333,-754.053628039247,-3665.75887465282,-6060.705157060482,-6315.774673673077,47668255056.09898,0.48868784764399853,109710.20874667744,108963.53013595635,113320.56908541008,112696.74101711863,115715.51536781774,0,2,bitcoin,2025-11-18 13:53:54.716199
1759104000000,112142.57362752674,31274654338.51212,2235798877396.134,2025-09-29 00:00:00,2025-09-29,2025,9,29,Monday,3,2.268722559446301,2.9175298263591776,-2.7422233435389853,-2.8004527689995395,3.375974011942584,111215.79981457978,111584.21593034192,113639.13917955912,112508.39776569568,112777.7032216452,112984.48405184518,112746.04321994973,113163.91207623774,2.0905085835725297,1.5259446455955938,1.2412987190465539,113639.13917955912,2818.1517513270537,119275.44268221322,108002.83567690502,0.36723873622777287,40.25272347714451,-600.3568052267801,-20.228324629329357,-580.1284805974508,3179.0434915703954,-3161.9063665436406,-3230.98193134155,49470475106.9585,0.6321882753479566,109654.81021075726,109710.20874667744,108963.53013595635,112022.16587861195,115304.47999407038,0,0,bitcoin,2025-11-18 13:53:54.716199
1759190400000,114309.15041119447,57833295882.65785,2278362523594.3135,2025-09-30 00:00:00,2025-09-30,2025,9,30,Tuesday,3,1.9319841819074535,4.191899475039795,1.430750685000648,-0.9429187353811597,5.0809833451963105,111446.14401373347,112265.44955055506,113561.41758555337,112748.49811842886,112961.94299270981,113069.94639760966,112784.16778558983,113208.82338349095,2.0612660993674554,1.6284683308040762,1.2846147266040426,113561.41758555337,2780.6904728171453,119122.79853118765,108000.03663991908,0.5672254636888409,47.09322321693921,-398.04580901873123,-95.79182150720973,-302.2539875115215,4598.941664517028,1612.409394075832,-1088.1023160806217,47853468514.55706,1.2085497180850102,112142.57362752674,109654.81021075726,109710.20874667744,113320.56908541008,112696.74101711863,0,0,bitcoin,2025-11-18 13:53:54.716199
